Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Bpl,23490.0,40000.0,Full Hd Led,43,1080x1920,Android,2020,4.2
Samsung,488699.0,589900.0,Ultra Hd (4K),77,3840x2160,Tizen,2024,4.3
Lg,75899.0,119990.0,Ultra Hd (4K),55,3840x2160,Webos,2023,3.0
Haier,66299.0,115990.0,Ultra Hd (4K),65,3840x2160,Google,2023,3.9
Lg,85990.0,109990.0,Ultra Hd (4K),48,3840x2160,Webos,2023,4.4
Vu,49899.0,78000.0,Ultra Hd (4K),65,3840x2160,Linux,2019,4.2
Samsung,36990.0,49900.0,Ultra Hd (4K),43,3840x2160,Tizen,2023,4.3
Lg,36990.0,59990.0,Ultra Hd (4K),43,3840x2160,Webos,2021,4.4
Lg,199990.0,379990.0,Ultra Hd (4K),65,3840x2160,Webos,2020,4.3
Lg,253699.0,339990.0,Ultra Hd (4K),65,3840x2160,Webos,2018,4.3
Sony,144990.0,299990.0,Ultra Hd (4K),75,3840x2160,Google,2021,4.7
Acer,54990.0,78990.0,Ultra Hd (4K),65,3840x2160,Android,2023,4.3
Bpl,22190.0,31000.0,Full Hd Led,43,1080x1920,Linux,2023,4.3
Lg,49990.0,89990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.8
Lg,199990.0,364990.0,Ultra Hd (4K),65,3840x2160,Webos,2019,4.3
Tcl,29490.0,59000.0,Qled Ultra Hd (4K),43,3840x2160,Google,2022,4.1
Lg,37827.0,49990.0,Ultra Hd (4K),43,3840x2160,Webos,2022,4.4
Samsung,47990.0,61990.0,Ultra Hd (4K),50,3840x2160,Tizen,2023,4.3
Lg,69990.0,114990.0,Ultra Hd (4K),65,3840x2160,Webos,2022,4.4
Lg,34790.0,58990.0,Ultra Hd (4K),43,840x2,Webos,2023,5.0
Sony,164990.0,249900.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.9
Tcl,37500.0,66900.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.1
Lg,94990.0,154990.0,Ultra Hd (4K),48,3840x2160,Webos,2023,5.0
Tcl,29999.0,61990.0,Qled Ultra Hd (4K),43,3840x2160,Google,2023,4.2
Samsung,134990.0,161800.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2024,5.0
Skylive,17574.0,37999.0,Full Hd Led,4343,1080x1920,Webos,2024,4.3
Lloyd,45890.0,66090.0,Ultra Hd (4K),43,3840x2160,Android,2021,4.4
Vu,37990.0,55000.0,Ultra Hd (4K),50,3840x2160,Google,2022,4.6
Vu,110199.0,155000.0,Ultra Hd (4K),65,3840x2160,Android,2016,3.9
Lg,119990.0,219990.0,Ultra Hd (4K),55,3840x2160,Webos,2022,5.0
Lg,125990.0,219900.0,Ultra Hd (4K),55,3840x2160,Webos,2022,4.4
